Year,Title,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
1950,Cinderella.txt,8.93655049151028E-04,0.15102770330652400,0.008936550491510280,0.006255585344057190,0.07596067917783740,0.008936550491510280,8.93655049151028E-04,0.2100089365504920,8.93655049151028E-04,8.93655049151028E-04,8.93655049151028E-04,0.019660411081322600,0.47810545129580000,0.03306523681858800,0.0035746201966041100
1951,Alice_in_Wonderland.txt,0.005413766434648110,0.102861562258314,0.003093580819798920,0.003093580819798920,0.005413766434648110,0.10750193348801200,7.73395204949729E-04,0.06109822119102860,0.003093580819798920,0.003093580819798920,0.01005413766434650,0.005413766434648110,0.01005413766434650,0.6504253673627220,0.028615622583140000
1953,Peter_Pan.txt,0.002962962962962960,0.016296296296296300,0.4651851851851850,0.011851851851851900,0.09407407407407410,0.005185185185185190,0.002962962962962960,0.23185185185185200,0.05851851851851850,7.40740740740741E-04,0.002962962962962960,0.005185185185185190,0.005185185185185190,0.06296296296296300,0.034074074074074100
1955,Lady_and_the_Tramp.txt,0.006410256410256410,0.04212454212454210,0.0173992673992674,0.003663003663003660,0.05311355311355310,0.020146520146520100,0.011904761904761900,0.5228937728937730,9.15750915750916E-04,0.0173992673992674,0.047619047619047600,0.047619047619047600,0.06135531135531140,0.0695970695970696,0.07783882783882780
1958,Melody_Time.txt,0.023809523809523800,0.023809523809523800,0.023809523809523800,0.023809523809523800,0.38095238095238100,0.023809523809523800,0.023809523809523800,0.16666666666666700,0.023809523809523800,0.023809523809523800,0.023809523809523800,0.023809523809523800,0.023809523809523800,0.09523809523809520,0.09523809523809520
1959,Sleeping_Beauty.txt,0.007803790412486070,0.43255295429208500,0.0011148272017837200,0.0011148272017837200,0.08138238573021180,0.0011148272017837200,0.0011148272017837200,0.09141583054626530,0.007803790412486070,0.004459308807134890,0.0011148272017837200,0.007803790412486070,0.1415830546265330,0.024526198439241900,0.19509476031215200
1961,One_Hundred_and_One_Dalmatians.txt,9.41619585687382E-04,0.020715630885122400,9.41619585687382E-04,0.0630885122410546,0.003766478342749530,0.009416195856873820,0.3540489642184560,0.4105461393596990,0.01224105461393600,0.05461393596986820,9.41619585687382E-04,0.026365348399246700,9.41619585687382E-04,0.03483992467043320,0.006591337099811680
1963,The_Sword_in_the_Stone.txt,6.43500643500644E-04,0.46782496782496800,0.002574002574002570,0.02380952380952380,0.08172458172458170,0.0546975546975547,0.016087516087516100,0.11068211068211100,0.008365508365508370,0.019948519948519900,0.06821106821106820,0.03346203346203350,6.43500643500644E-04,0.05276705276705280,0.05855855855855860
1967,The_Jungle_Book.txt,0.3333333333333330,9.46969696969697E-04,9.46969696969697E-04,0.0037878787878787900,0.11742424242424200,9.46969696969697E-04,0.006628787878787880,0.33617424242424200,0.04924242424242420,0.0037878787878787900,0.029356060606060600,0.0037878787878787900,0.08617424242424240,0.0037878787878787900,0.023674242424242400
1970,The_Aristocats.txt,0.05939716312056740,8.86524822695035E-04,0.03546099290780140,0.26418439716312100,0.01950354609929080,0.03546099290780140,0.014184397163120600,0.2349290780141840,0.022163120567375900,8.86524822695035E-04,0.038120567375886500,0.07801418439716310,0.17109929078014200,0.0035460992907801400,0.022163120567375900
1973,Robin_Hood.txt,8.39630562552477E-04,0.12174643157010900,0.023509655751469400,0.3610411418975650,0.11922753988245200,0.0033585222502099100,0.01847187237615450,0.1494542401343410,0.028547439126784200,0.008396305625524770,0.01595298068849710,8.39630562552477E-04,0.04617968094038620,0.0764063811922754,0.026028547439126800
1977,The_Many_Adventures_of_Winnie_the_Pooh.txt,0.012039127163280700,0.007524454477050410,0.0030097817908201700,0.00526711813393529,0.009781790820165540,0.5537998495109100,0.00526711813393529,0.2513167795334840,7.52445447705041E-04,0.0030097817908201700,0.02106847253574120,0.0346124905944319,0.05041384499623780,0.009781790820165540,0.032355154251316800
